ticket,symbol,type,volume,open_time,open_price,close_time,close_price,sl,tp,profit,commission,swap,net_profit,reason,bars_held,duration_s,mae,mfe,mae_points,mfe_points,slippage_points,balance_after,equity_after,comment,magic,tag
55,EURUSDz,sell,1.96,2023-11-16 09:10:00,1.08544,2023-11-16 09:15:00,1.0857,1.08569,1.08335,-50.9600000000292,13.719999999999999,0.0,-64.6800000000292,SL,0,300.0,-70.55999999998352,23.520000000023522,-35.999999999991594,12.000000000012,2.092924118521678,8959.039999999972,8961.979999999989,fade breakout up,0,short
56,EURUSDz,sell,0.86,2023-11-17 10:00:00,1.08529,2023-11-17 10:10:00,1.08587,1.08583,1.08251,-49.87999999998305,6.02,0.0,-55.89999999998305,SL,1,600.0,-36.11999999998838,10.320000000010321,-41.99999999998649,12.000000000012,6.7510270888933395,8903.139999999989,8927.649999999996,fade breakout up,0,short
57,EURUSDz,sell,1.14,2023-11-20 10:10:00,1.09277,2023-11-20 10:35:00,1.09319,1.09317,1.09132,-47.88000000000991,7.9799999999999995,0.0,-55.860000000009904,SL,4,1500.0,-25.079999999987113,51.300000000007,-21.99999999998869,45.00000000000614,3.037275948781444,8847.279999999979,8908.269999999999,fade breakout up,0,short
58,EURUSDz,buy,1.07,2023-11-21 10:10:00,1.09461,2023-11-21 11:20:00,1.09415,1.09417,1.09642,-49.22000000001359,7.49,0.0,-56.71000000001359,SL,13,4200.0,-28.889999999999194,83.46000000000032,-26.999999999999243,78.00000000000028,3.637436223533559,8790.569999999965,8819.994999999966,fade breakout down,0,long
59,EURUSDz,buy,1.33,2023-11-22 14:40:00,1.08841,2023-11-22 14:50:00,1.08806,1.08807,1.09198,-46.55000000000964,9.31,0.0,-55.86000000000964,SL,1,600.0,-30.590000000023213,26.599999999997074,-23.000000000017447,19.999999999997797,0.7187465757840077,8734.709999999955,8792.56499999995,fade breakout down,0,long
60,EURUSDz,buy,1.74,2023-11-23 14:35:00,1.08967,2023-11-23 14:55:00,1.08936,1.0894,1.09306,-53.939999999967014,12.18,0.0,-66.119999999967,SL,3,1200.0,-40.01999999999173,41.76000000000313,-22.999999999995243,24.000000000001794,6.042917248957148,8668.589999999987,8765.159999999963,fade breakout down,0,long
61,EURUSDz,sell,1.6,2023-11-24 12:45:00,1.0919,2023-11-24 13:50:00,1.09215,1.09214,1.0903,-39.99999999997784,11.200000000000001,0.0,-51.19999999997784,SL,12,3900.0,-28.799999999975515,192.00000000001438,-17.999999999984695,120.00000000000898,-1.6199099005671251,8617.390000000009,8674.190000000024,fade breakout up,0,short
62,EURUSDz,sell,1.1,2023-11-28 10:20:00,1.0951,2023-11-28 10:30:00,1.09556,1.09556,1.09347,-50.60000000001397,7.700000000000001,0.0,-58.30000000001397,SL,1,600.0,-26.40000000000198,2.2000000000144126,-24.000000000001794,2.0000000000131024,6.363205066452198,8559.089999999995,8597.040000000023,fade breakout up,0,short
63,EURUSDz,buy,1.47,2023-11-29 09:55:00,1.09777,2023-11-29 10:00:00,1.09751,1.0975,1.10047,-38.21999999998926,10.29,0.0,-48.50999999998926,SL,0,300.0,-80.84999999997478,8.820000000025141,-54.99999999998283,6.000000000017102,-3.4495472734952437,8510.580000000005,8509.845,fade breakout down,0,long
64,EURUSDz,buy,1.41,2023-11-30 10:40:00,1.09213,2023-11-30 10:55:00,1.09179,1.09184,1.09818,-47.94000000000098,9.87,0.0,-57.810000000000976,SL,2,900.0,-28.19999999999689,21.149999999982015,-19.999999999997797,14.999999999987244,4.480255899733349,8452.770000000004,8511.28500000001,fade breakout down,0,long
